编导填写,,,,,剪辑填写,,,,编导填写,,,,,,
日期,表达卖点,文案内容,对应视频画面需求,编导,是否采用,短视频ID,剪辑人,上传日期,3天平均展现次数,3天整体点击率,3天合计销售额,7天平均展现次数,7天整体点击率,7天合计销售额,15天合计销售额
7月28日,七级防水,,,,,,,,,,,,,,
,充电,,,,,,,,,,,,,,
,动力,,,,,,,,,,,,,,
,剃须效果,,,,,,,,,,,,,,
,外观机身,,,,,,,,,,,,,,
7月28日,开头,无口播,没剃的胡子，特写摸,张可熠,,7670002768238411795,洪晨沛,8.4,8.333333333,4.00%,0,,,,
,,忙了一天，连胡子都在提醒你，该歇了。,没剃的胡子，照镜子全脸摸,,,,,,,,,,,,
,外观机身,(无口播)花字“高温熔制漆面，不留指纹”,12.20  S5，产品，机身、充电口、转子、刀网，机身展示，银色，有其他动作[扫光],,,,,,,,,,,,
,充电,该面对的事，一件都不能少。    花字“超长续航、Type-C快充”,充电口展示,,,,,,,,,,,,
,剃须效果,刀够快，几下就干净。      花字“浮动五刀头 贴面不遗漏”,剃一道，特写,,,,,,,,,,,,
,动力,"不用来回蹭，不拉扯，不泛红。     花字“39000次/分”
                                                                             “自磨刀头 · 越用越利”",左右脸对比,,,,,,,,,,,,
,剃须效果 +七级防水,干净的，不止是脸。,剃完展示，剃完摸脸，不展示,,,,,,,,,,,,
,,剃完，水一冲就干净。不拖泥带水，不把今天的糟糕，带到明天。       花字“全机可水洗”,剃完展示，剃完摸脸不展示+防水效果，直接冲水,,,,,,,,,,,,
,结尾,上谷S5Max，给你的，不止是干净。,机身展示，机身扫光,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月28日,开头,听我一句劝，想换剃须刀的，就买这把。,机身展示，红布抽开展示产品,张可熠,,,,,,,,,,,
,剃须效果,去年七夕收到的，到现在天天用，五刀头刮得很干净。,剃完展示，剃完摸脸不展示,,,,,,,,,,,,
,充电,关键是Type-C充电，出差从来不用额外带线，省心。,充电口展示，通电电量显示,,,,,,,,,,,,
,七级防水,打理方便，一冲就干净，不用拆开抠。,防水效果，直接冲水,,,,,,,,,,,,
,刀头,自磨刀头设计，用了一年多剃须效果还是很好，越用越值。,剃半脸,,,,,,,,,,,,
,外观机身,上谷S5Max，买一次管用好几年。,12.20  S5，产品，机身、充电口、转子、刀网，机身展示，银色[黑色也有]，有其他动作[翻转],,,,,,,,,,,,
,结尾,现在直播间还有活动，快去看看吧。,礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7月28日,开头,想换一把好的剃须刀，那可得认真选，强烈推荐这款上谷S5Max。,机身展示，保护盒打开…,张可熠,,,,,,,,,,,
,外观机身,机身是钢琴烤漆质感，抓握起来很舒服,机身展示，手持机身,,,,,,,,,,,,
,刀头,刀头采用合金材质，对敏感皮肤也很友好。,没剃的胡子，假装在剃,,,,,,,,,,,,
,动力,升级合金电子转子，每分钟可达39000转，剃须又快又顺畅。,转子展示,,,,,,,,,,,,
,剃须效果,3D浮动五刀，可以灵活贴合面部轮廓，清理胡须死角。,刀网，按动刀网 + 剃一道，特写,,,,,,,,,,,,
,七级防水,全机身防水，剃完水龙头直接冲干净。,12.20  S5，产品，防水，黑色[银色也有][浇水],,,,,,,,,,,,
,充电,升级大容量电池，没有续航焦虑。,机身展示，保护盒打开、关闭展示机身,,,,,,,,,,,,
,结尾,现在进直播间下单，还送收纳盒一个。快给自己备起来吧！,礼盒及赠品展示，纯展示,,,,,,,,,,,,
,,,,,,,,,,,,,,,
